,id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,is_new_listing,is_super_host,reviews_scores_location,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
27,18521789,10.0,1.0,1.0,0.0,4.77,0.5,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,15,9.0,10.0,0,1,10.0,120,1,0.72,Private room in Downtown. Linnanmäki. Kallio,2,13,58,1.0,100.0,within an hour,42.0,92.0,105,Private room,5.0,9.0,42.0,0.96,15,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Myllypuro
28,33890366,10.0,1.0,1.0,0.0,4.88,1.0,0.0,3.0,0,CANCEL_MODERATE,9.0,Helsinki,22,9.0,10.0,0,1,10.0,1125,1,0.0,Cozy loft apartment in best location!,4,9,109,35.0,100.0,within a few hours,42.0,92.0,130,Entire home/apt,5.0,9.0,42.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Kamppi
29,43064194,10.0,1.0,1.0,0.0,,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,1,0,10.0,60,1,0.55,Private studios in the heart of the city,2,4,46,47.0,100.0,within an hour,42.0,92.0,0,Private room,,9.0,42.0,0.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Ullanlinna
30,36196446,10.0,1.0,1.0,0.0,4.88,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,0,0,10.0,1125,1,0.0,Good place And safety,2,9,41,1.0,100.0,within an hour,42.0,92.0,27,Private room,5.0,9.0,42.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Nordsjön kartano
31,34367632,10.0,1.0,1.0,0.0,4.71,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10.0,Helsinki,38,10.0,10.0,0,0,10.0,1125,2,0.0,Unique luxurious home with sauna in Kamppi Center,4,12,122,1.0,100.0,within an hour,105.0,95.0,21,Entire home/apt,4.5,9.0,105.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Meri-Rastila
32,29644231,10.0,1.0,1.0,0.0,4.95,1.5,1.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,0,10.0,10.0,0,1,10.0,1125,1,0.8,Jugend-helmi Etelä-Helsingissä,2,16,101,37.0,100.0,within an hour,105.0,95.0,158,Entire home/apt,5.0,9.0,105.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Kluuvi
33,3408263,10.0,1.0,1.0,0.0,4.68,1.0,0.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,26,10.0,10.0,0,0,10.0,1124,1,0.74,Arty interior in 1900 wooden house,2,9,75,1.0,100.0,within an hour,105.0,95.0,606,Entire home/apt,4.5,9.0,105.0,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Ullanlinna
34,4459868,10.0,1.0,1.0,0.0,4.75,1.0,0.0,3.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,14,10.0,10.0,0,0,10.0,1125,1,0.8,Cosy Helsinki Inner City Apartment,4,22,95,1.0,100.0,within an hour,105.0,95.0,603,Entire home/apt,5.0,9.0,105.0,0.9,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Kamppi
35,38727425,10.0,1.0,1.0,0.0,4.84,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,10.0,Helsinki,0,10.0,10.0,0,1,10.0,1125,1,0.0,Nice and cheap bedroom available in Helsinki. ❤,2,6,27,37.0,90.0,within an hour,105.0,95.0,52,Private room,5.0,9.0,105.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Etu-Töölö
36,39487366,10.0,1.0,1.0,0.0,4.63,1.0,1.0,0.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,4,10.0,10.0,0,1,10.0,28,1,0.0,NEW! Large BUDGET-room  walking from Metro,3,4,28,1.0,100.0,within an hour,105.0,95.0,8,Private room,4.5,9.0,105.0,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Pihlajisto
