,index,accuracy_rating,allows_children,allows_infants,allows_pets,avg_rating,bathrooms,bedroom_label,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,listing_url,location_rating,longitude,max_nights,min_nights,monthly_price_factor,person_capacity,picture_count,price_string,property_type_id,requires_license,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,member_since
20,22,10.0,1.0,1.0,0.0,4.75,1.0,1 bedroom,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,0,9.0,10.0,0,36353225,0,0,0,Private room,60.16465,https://www.airbnb.com/api/v2/pdp_listing_details/36353225?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.92568,1125,1,1.0,2,13,$58,1.0,0.0,80.0,within an hour,42.0,92.0,84,Private room in apartment,Private room,private_room,Private room,5.0,9.0,42.0,0.95,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2012-01-01
21,23,10.0,1.0,1.0,0.0,4.36,1.0,Studio,0.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,38771885,0,0,0,Entire apartment,60.16065,https://www.airbnb.com/api/v2/pdp_listing_details/38771885?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.93381,1125,1,0.8,3,8,$81,1.0,0.0,71.0,unknown,42.0,92.0,25,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,9.0,42.0,0.9,5,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2019-07-01
22,24,10.0,1.0,1.0,0.0,4.85,1.5,1 bedroom,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,38,9.0,10.0,0,40033351,0,0,1,Entire condominium,60.1677,https://www.airbnb.com/api/v2/pdp_listing_details/40033351?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.93186,1125,2,0.0,4,19,$122,37.0,0.0,91.0,unknown,42.0,92.0,13,Entire condominium,Entire home/apt,entire_home,Entire condominium,5.0,9.0,42.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2019-11-01
23,25,10.0,1.0,1.0,0.0,5.0,1.5,1 bedroom,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,42684617,0,0,0,Entire apartment,60.1883,https://www.airbnb.com/api/v2/pdp_listing_details/42684617?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.96263,1125,1,0.85,2,18,$46,1.0,0.0,100.0,unknown,42.0,92.0,4,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,9.0,42.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2016-03-01
24,26,10.0,1.0,1.0,0.0,,1.5,1 bedroom,1.0,,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,0,42596142,0,1,0,Private room,60.23826,https://www.airbnb.com/api/v2/pdp_listing_details/42596142?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,25.07771,1125,1,1.0,1,6,$26,1.0,0.0,0.0,unknown,42.0,92.0,2,Private room in apartment,Private room,private_room,Private room,,9.0,42.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
25,27,10.0,1.0,1.0,0.0,4.0,1.0,1 bedroom,1.0,1.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,41758970,0,0,0,Entire apartment,60.16826999999999,https://www.airbnb.com/api/v2/pdp_listing_details/41758970?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.92888,1125,1,1.0,4,13,$93,1.0,0.0,71.0,within an hour,42.0,92.0,3,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.0,9.0,42.0,1.0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-07-01
26,29,10.0,1.0,1.0,0.0,4.77,1.0,1 bedroom,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,43,9.0,10.0,0,24045106,0,0,1,Entire condominium,60.17026,https://www.airbnb.com/api/v2/pdp_listing_details/24045106?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.94564,1124,1,0.85,4,11,$116,37.0,0.0,100.0,within an hour,42.0,92.0,22,Entire condominium,Entire home/apt,entire_home,Entire condominium,5.0,9.0,42.0,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2014-06-01
27,30,10.0,1.0,1.0,0.0,4.77,0.5,1 bedroom,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,15,9.0,10.0,0,18521789,0,0,1,Private room,60.1896,https://www.airbnb.com/api/v2/pdp_listing_details/18521789?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.94669,120,1,0.72,2,13,$58,1.0,0.0,100.0,within an hour,42.0,92.0,105,Private room in apartment,Private room,private_room,Private room,5.0,9.0,42.0,0.96,15,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2013-04-01
28,31,10.0,1.0,1.0,0.0,4.88,1.0,Studio,0.0,3.0,0,CANCEL_MODERATE,9.0,Helsinki,22,9.0,10.0,0,33890366,0,0,1,Entire loft,60.17661999999999,https://www.airbnb.com/api/v2/pdp_listing_details/33890366?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.92945,1125,1,0.0,4,9,$109,35.0,0.0,100.0,within a few hours,42.0,92.0,130,Entire loft,Entire home/apt,entire_home,Entire loft,5.0,9.0,42.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2012-06-01
29,32,10.0,1.0,1.0,0.0,,1.0,1 bedroom,1.0,2.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,0,43064194,0,1,0,Apartment room,60.16945,https://www.airbnb.com/api/v2/pdp_listing_details/43064194?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.92134,60,1,0.55,2,4,$46,47.0,0.0,100.0,within an hour,42.0,92.0,0,Private room in serviced apartment,Private room,private_room,Apartment room,,9.0,42.0,0.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018-12-01
30,35,10.0,1.0,1.0,0.0,4.88,1.0,1 bedroom,1.0,1.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,0,36196446,0,0,0,Private room,60.22666,https://www.airbnb.com/api/v2/pdp_listing_details/36196446?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,25.06331,1125,1,0.0,2,9,$41,1.0,0.0,100.0,within an hour,42.0,92.0,27,Private room in apartment,Private room,private_room,Private room,5.0,9.0,42.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2019-06-01
