,id,accuracy_rating,allows_children,allows_infants,allows_pets,avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,localized_city,location_rating,longitude,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
20,36353225,10.0,1.0,1.0,0.0,4.75,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,0,9.0,10.0,0,0,0,0,Private room,60.16465,Helsingfors,10.0,24.92568,1125,1,1.0,Cozy home in the true heart of Helsinki,2,13,58,1.0,90.0,within an hour,42.0,92.0,84,Private room in apartment,Private room,private_room,Private room,5.0,9.0,42.0,0.95,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Kamppi
21,38771885,10.0,1.0,1.0,0.0,4.36,1.0,0.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,0,0,Entire apartment,60.16065,Helsinki,10.0,24.93381,1125,1,0.8,Cosy studio for 3 in Punavuori district w/ balcony,3,8,81,1.0,70.0,within a few hours,42.0,92.0,25,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,9.0,42.0,0.9,5,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Harju
22,40033351,10.0,1.0,1.0,0.0,4.85,1.5,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,38,9.0,10.0,0,0,0,1,Entire condominium,60.1677,Helsinki,10.0,24.93186,1125,2,0.0,Luxurious apartment in Kampin keskus with sauna,4,19,122,37.0,100.0,within an hour,42.0,92.0,13,Entire condominium,Entire home/apt,entire_home,Entire condominium,5.0,9.0,42.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Kontula
23,42684617,10.0,1.0,1.0,0.0,5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,0,0,Entire apartment,60.1883,Helsinki,10.0,24.962629999999997,1125,1,0.85,Stylish down town studio with best connections,2,18,46,1.0,100.0,within an hour,42.0,92.0,4,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,9.0,42.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Kamppi
24,42596142,10.0,1.0,1.0,0.0,,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,0,0,1,0,Private room,60.23826,Helsinki,10.0,25.07771,1125,1,1.0,Community of Kontula - Small cozy private room,1,6,26,1.0,0.0,unknown,42.0,92.0,2,Private room in apartment,Private room,private_room,Private room,,9.0,42.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kluuvi
25,41758970,10.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,0,0,Entire apartment,60.16826999999999,Helsinki,10.0,24.92888,1125,1,1.0,In the heart of the city: 1BR apartment w/ balcony,4,13,93,1.0,70.0,within a few hours,42.0,92.0,3,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.0,9.0,42.0,1.0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Alppila
26,24045106,10.0,1.0,1.0,0.0,4.77,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,43,9.0,10.0,0,0,0,1,Entire condominium,60.17026,Helsingfors,10.0,24.94564,1124,1,0.85,Unique Home,4,11,116,37.0,100.0,within an hour,42.0,92.0,22,Entire condominium,Entire home/apt,entire_home,Entire condominium,5.0,9.0,42.0,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Etu-Töölö
27,18521789,10.0,1.0,1.0,0.0,4.77,0.5,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,15,9.0,10.0,0,0,0,1,Private room,60.1896,Helsinki,10.0,24.94669,120,1,0.72,Private room in Downtown. Linnanmäki. Kallio,2,13,58,1.0,100.0,within an hour,42.0,92.0,105,Private room in apartment,Private room,private_room,Private room,5.0,9.0,42.0,0.96,15,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Myllypuro
28,33890366,10.0,1.0,1.0,0.0,4.88,1.0,0.0,3.0,0,CANCEL_MODERATE,9.0,Helsinki,22,9.0,10.0,0,0,0,1,Entire loft,60.17661999999999,Helsingfors,10.0,24.92945,1125,1,0.0,Cozy loft apartment in best location!,4,9,109,35.0,100.0,within a few hours,42.0,92.0,130,Entire loft,Entire home/apt,entire_home,Entire loft,5.0,9.0,42.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Kamppi
29,43064194,10.0,1.0,1.0,0.0,,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,0,0,1,0,Apartment room,60.16945,Helsingfors,10.0,24.92134,60,1,0.55,Private studios in the heart of the city,2,4,46,47.0,100.0,within an hour,42.0,92.0,0,Private room in serviced apartment,Private room,private_room,Apartment room,,9.0,42.0,0.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Ullanlinna
